comments,sentiment
masalah likuiditas jaman surabaya vs jokowi ibarat langit bumi jaman surabaya apbn banyak dibelanjain proyek2 nilai tegah kecil kayak labuh jalan embung kecil2 rata semua daerah laksana usaha pt cv tengah kecil saking banyak proyek kecil banyak muncul usaha baru proyek infrastruktur tidak lihat wow tentu banyak korupsi proyekx kecil laksana persh2 daerah belanja bahan toko ketika bayar proyek jadi okb habis duit daerah edar uang masyarakat tingkat jaman jkw apbn belanja bangun infrastuktur hampir semua wow mana bagi besar kerja badan usaha milik negara karya suplier material langsung pabrik bukan toko uang negara langsung prshn besar celaka proyek lewat besar apbn tidak cukup badan usaha milik negara karya suruh ngutang luar sampe2 bayar bunga triliun laksana suplier swasta jadi korban gagal bayar arti uang dari apbn hutang bagi besar masuk prshn besar jadi beton aspal bahkan uang masy swasta sedot macet korupsi tidak kalah beda jaman surabaya korupsi banyak kecil2 sebar hasil korupsi dibelanjain lingkung jadi uang banyak edar likuiditas banjir jaman jkw orang korupsi sedikit vs jaman surabaya tapi gede pusat dekat kuasa uang korupsi lari luar negeri makanya uang negara masyakat sedot likuiditas kering,Negatif
begini kalo negara transparan jadi menti uang analisis tanam saham rakyat simpan pinjam jadi bank usaha bantu administrasi jadi semua jadi sirklus ekonomi buah negara badan usaha milik negara awas,Netral
gantung multiplier effect nya kalau bank benar benar salur kredit produktif bukan tempat di instrumen aman sbn dampak ekonomi besar,Netral
semua lini aspek hidup ingin tumbuh ekonomi,Netral
keren habis bapak menteri uang,Positif
rakyat lebih banyak bimbing bikin produk bisnis di china menperin mendag brin uang gelontor serap lewat kredit usaha,Positif
mau ekonomi masyarakat gerak mudah kredit bunga rendah lalu bank bank resmi jauh masyarkat pinjam riba pinjam online jangan biar masyarakat jebak putar ekonomi finishya bangkrut,Negatif
jadi uang bagai pinjam buat usaha mikro kecil tengah ekonomi masyarakat hidup,Positif
bank kasih bunga rendah kreditur lequiditas untuk usaha tengah bawah jangan ikan kebpengusaha besar,Positif
rakyat ikut pantau jangan menteri uang kelabu tikus2 das niat beliau rasa sangat baik,Positif
keren bapak purbaya,Positif
dana 200 t salur bank salur usaha usaha kecil tengah bunga rendah,Positif
saran bapak turun lapang tindak lanjut program karena saudara himpun bank milik negara tak transfran laksana program pusat,Negatif
bravo menteri uang baru mantul joss,Positif
bentuk deposito perintah bunga deposito himpun bank milik negara lama tahun periode tahun ada masalah dorong cair deposito ambyar lah himpun bank milik negara,Negatif
bank suntik ekonomi suntik manusia suntik wow ini zombi zombi meningg kan nyata apa sudah tepaf segala sunti kalau itu laku tanga otak sehat mengchawatirkan,Negatif
luar biasa bapak purbaya menteri hebat gass ekonomi indonesia tumbuh 8 tidak sama sri mulyani biang kerok ekonomi indonesia,Positif
pasti likuiditas aman ada ews mitigasi risiko pasti nilai fantastis high risk saya cuma ingat jangan npl naik,Netral
pasti fungsi kontrol alir uang ketat,Netral
uu ampas asset belum sah kan rencana menteri uang baru guna simpan dana taktis negara guna modal usaha lalu bank kompensional harap perintah berhati2 jangan jadi century blbi jilid 2 dewan wakil rakyat presiden berhati2 konsep bijak menteri uang baru alas dana 500 t ada bank indonesia guna 50 nya jalan uu ampas aset belum jalan bisa2 kandang kucing harga 1 juta jadi jamin pinjam uang 100 milyar ujung kredit macet sistem kadang2 pinjam uang beri pinjam sama perlu sini celah nya century blbi jilid 2 banyak tidak teks perintah presiden mungkin ini main nakal siap2 aju proposal bank dapat fasilitas 50 dana taktis negara sebut mungkin cerita century blbi jilid 1 dulu ulang jadi jilid 2 lanjut kasihan bagi masyarakat lain tidak dosa tabung bank century jilid 2 sebut uang tabung sita negara tutup rugi negara berhati2 tentu bijak sekali dewan wakil rakyat presiden tetap berhati2 tuju kebijakan2,Negatif
lebih sangat percaya menteri uang baru pikir dompet rakyat pada lama,Positif
kalau blbi dulu siapa tanggung jawab,Netral
kalo hasil sita koruptor fungsi biar daya beli masyarakat pulih,Netral
step by step indak perlu pongah dulu lihat hasil misal inflasi berapa lalu data jangan manipulasi data bps,Netral
betul guyur lah private seret banget cari uang uang cuma atas ngepet,Negatif
kalau ubah pion pion ganti orang sekitar2 sistim hasil sama warga indonesia perlu ajar nepal cara ubah perintah korup sistemik kronis revolusi,Negatif
penting awas ketat jangan di maling,Positif
ke rakyat masing masing ratus juta biar ekonomi jalan,Positif
harus suku bunga turun dong biar masyarakat berani minjem,Positif
perban naik daun sunti dana jangan telah suntik tambah loyo ambruk,Negatif
pangkas anggar dewan wakil rakyat bapak,Negatif
menteri uang lama malah narikin pajak terus duit diendapin terus bank central tidak mampu kelola menteri baru lebih simple mikirnya cukup uang sebar masyarakat biar rakyat kelola duit,Positif
200 t bikin heboh ekonomi jadi ngebayngin anda aset koruptor sita dapat ber t t,Netral
percuma teori kalau uang negara habis buat gaji dewan wakil rakyat perintah,Negatif
lanjut perban kucur kredit ringan usaha mikro kecil tengah biar dana alir level bawah tengah jangan alir para konglomerat,Positif
kasih bunga bank sangat rendah masyarakat ekonomi gerak kredit usaha rakyat tinggi lo dana mati 2 kali angsur tidak cair,Negatif
fiskal urus menteri uang kalau moneter urus bank indonesia saran menteri menteri uang baru paham tupoksi sesuai uu menteri uang jangan keliru sayang kalau keliru ambil bijak,Positif
turun kan bunga bank biar rakyat kredit tidak susah bayar habis semua bank indonesia ceking tutup pinjam online baru mantap kalo cuma kucurin dana tidak ikut bijak atas rasa tidak optimal jadi nya,Negatif
woy jangan fokus ihsg fokus masyarakat biasa soal daya beli kurang ekonomi rakyat jalan lambat,Negatif
bagus tetapi selektive unsur hati hati tepat waktu tepat jumlah tepat sasar,Positif
semua ada efek bahkan diam tidak empati awas jadi nepal jadi ri,Negatif
bijak akan efektif bila suku bunga terap rendah,Positif
benar tumbuh ekonomi tidak lihat satu sisi jika simpul2 tidak buka tetap jadi macet ekonomi kucur dana dasar project bahan wajib produksi negeri dengan sistem blockchain lebih bagus saudari laksana serah komunitas wali murid langsung kualitas langsung kontrol tidak jadi mark up usaha mikro geliat,Positif
joss taruh 200 t mirip naroh deposito bank jadi strategi cerdas dana sebut dapat bunga dana sebut di manfaat rakyat buka usaha gera roda ekonomi indonesia sukses selalu p purbaya,Positif
lama duit timbun rakyat kecil jerit,Negatif
mantap bapak menteri uang pasar siram likuiditas 200 t wow saham lejit usaha bangkit moga isu pajak redam jangan tambah takut laku usaha usaha rakyat kecil jangan diobok2 pajak pasti keteter,Positif
saham indonesia hebat,Netral
lebih cepat muter kalo turun buat bansos daya beli masyarakat tingkat wkwkwkwkwkwwk,Netral
baru tahu uang parkir tidak di guna ekomi masyarakat,Negatif
awas hati hati oknum jabat suka korupsi mulai mata ijo sedang cari mangsa bagaimana cara korupsi,Negatif
salur banyak tantang sdmnya kurang berskill malah konsumtif sdmnya bagus mumpuni bank indonesia check skor kredit bad pandemi turun daya beli biasa banyak bad pinjam online bunga lebih tinggi kredit usaha rakyat syarat perban terlalu tinggi surat property shm kendara usia muda makanya banyak lari pinjam online juga sdm mau instant sebab uang bocor keluar juga analis tidak berani ambil risiko juga sdm uji bentur usia yang sudah lansia begitu baru beberapa banyak tantang depan bapak purbaya moga jadi problem solve masyarakat amin,Negatif
sama rakyat ajar pinjam terus terus minus uang rakyat,Negatif
keren bapak menteri blak2an,Positif
naik kan gaji pns pensiun naik lah tumbuh ekonomo nya,Positif
kontrol pihak bank nya apa biar tidak aco alur uang nya sudah juga banyak lari kolongmerat uang nya coba banyak salur dana para giat usaha kecil biar usaha kembang kan kalo usaha kembang lapang kerja tambah sedikit contoh perintah cina mudah modal usaha buat punya ide usaha,Negatif
jangan kucur bank semua bapak menteri uang kucur buat rakyar kecil tidak erti kredit n perban butuh jalan bagus buat jual hasil tani mudah lancar selalu kuasa tengkulak cekik patani,Error
sunti likuiditas besar 200 triliun sektor perban harap dorong tumbuh ekonomi riil tampak belum beri dampak signifikan dorong utama tumbuh bukan semata sedia dana bank daya beli masyarakat lama konsumsi rumah tangga lemah laju tumbuh ekonomi tetap batas dampak nyata baru rasa apabila perintah mulai longgar bijak efisiensi anggar misal lalu tingkat ada barang jasa selenggara giat cepat bangun infrastruktur langkah sebut gerak bagai sektor sama libat lebih banyak masyarakat cipta efek domino kuat daya beli akhir kondisi ini akan jadi motor gerak tumbuh ekonomi lebih kuat lanjut,Error
awas kalo tidak ketat uang negara bawa kabur kreditor,Error
apa manfaat rakyat tidak lebih baik atur suku bunga,Error
kalau ekonomi tingkat berani naik gaji guru asn tni polri,Error
begitu menteri laki suka muterin uang bukan nyimpan uang,Error
nah benar uang nganggur mending puterin,Error
tetap rakyat biasa susah minjem uang bank banyak prosedur,Error
bukan beberapa waktu lalu berita banyak kredit tidak cair arti kan masalah bukan kurang uang karena tidak pasti ekonomi masyarakat,Error
guyur kredit mikro dong jangan yang,Error
bank2 umum dorong salur tambah kredit 200 trilyun sedang bank2 sendiri nya lebih dana malah simpan bank indonesia sbi giro wajib minimum malah beli sun salur kredit tidak mudah peluang jadi kredit macet sangat besar lihat industri2 tumbang al kalah saing barang impor banjir ind pem pusat daerah kurang peduli tani ternak kecil kapasitas nya boyolali ternak susu yang tuduh langgar pajak shg tutup bank2 umum lebih dana banyak nya korupsi kredit macet debitur tak bayar kredit macet uang nya simpan bank,Error
benar dulu masalah negara dalam sektor ekonomi terlalu manja usaha besar lewat pinjam lunak kalo usaha usaha mikro kecil tengah tengah bawah sulit minta ampun cara kerja bank sangat brengsek malas urus beri kredit umkm2 mending asih pinjam 100m satu usaha besar pada minjemin 100 usaha usaha mikro kecil tengah masing-masing 100 juta 200 usaha usaha mikro kecil tengah masing-masing 50 juta walaupun dalam piramida sektor tegah bawah topang kalo ambruk ambruk negara,Error
dari malaysia strategi guna dari bekas setiausaha wang america hank paulson bank konvensional dana kering lalu beliau beri sunti dana adalah golden parachute ekonomi indonesia ambil langkah tepat usaha mikro kecil tengah nafas mula restore confidence,Error
nya optimis banget ekonomi indonesia terbang tinggi tangan menteri baru ini,Error
keren bapak sangat paham mesin ekonomi moneter urus bank indonesia atur uang bunga biar inflasi kendali fiskal urus perintah atur pajak belanja negara buat bangun kalau gabung dua kayak pedal mobil moneter atur cepat uang edar fiskal atur arah keluar imbang biar ekonomi jalan mulus,Error
optimis sama bapak menteri,Error
gaya komunikasi beliau jadi sambil ajar konsep ekonomi moga strategi2 bapak terap bawa indonesia arah lebih baik,Error
gila nih menteri top,Error
amin aura positif banget optimis ekonomi indonesia angkat bangkit 2026,Error
keren bapak menteri uang semangat bapak orang pandang adalah orang cerdas,Error
aku suka menteri ceplas ceplos mantap bapak menteri,Error
bismillah moga depan ekonomi indonesia baik rakyar sejahtera,Error
gila sih wawancara hitung entah cari sekarang jadi beliau moga sesuai lah,Error
bismillah bapak menteri beri mudah dalam emban tugas negara gue demen sama lo no citra apa ada tekonokratik andai menteri2 kayak begini negara cepat maju,Error
solusi tawar menteri uang purbaya tidak mampu selesai kondisi ekonomi indonesia jangka panjang kira 80 rakyat indonesia tetap miskin 20 kayak kalang jabat keluarga apa teori tetap tidak 1 yaitu seluruh kelola sda kelola negara lalu tangan2 suci bersih amanah anti korupsi sejahtera seluruh rakyat indonesia dari kelola sda pasti sumber dapat negara bisa penuh pajak tidak perlu aspek2 didik sehat bisa penuh baik tidak mahal lagi tapi sementara optimis dulu lihat kembang betul ya min,Error
mantab bapak menteri,Positif
orang bogor lulus itb kayak jenius bidang uang nih pemikiranya sangat tajam detail,Positif
menteri uang lebih buka banding belum selalu hindar wartawan wawancara juga matiin kolom komentar ig,Negatif
ayo anak muda indonesia semangat buka usaha,Netral
bicara nya di paham orang awam moga ekonomi indonesia terus lebih baik stabil amin,Positif
betul bapak sekarang bank sangat susah sekali beri kredit mungkin dana nya kurang,Netral
suka cara pandang beliau elo uang negara tumbuh ekonomi bawah,Positif
alhamdulillah selaku usaha mikro kecil tengah senang dengar,Positif
salur dana trilyunan bank harap banyak sektor swasta pinjam uang bank usaha uang edar gerak ekonomi ideal kecuali banyak sektor swasta nyata kemudian rugi tidak mampu bayar uang sudah gelontor akan jadi bantu sosial bank sektor swasta,Netral
tanya jelas jelas detail mudah paham orang awam sangat positif sekali pikir ceplas ceplos tidak yang ragu tahan omong arti kata jujur apa ada moga uang indonesia makin baik tangan beliau,Positif
menteri keren tinggal lihat orang akan jalan strategi mudah amanah,Positif
bapak kok keren,Positif
moga semua rencana bapak menteri buat ekonomi indonesia bangkit,Positif
kalo lihat skilas bliau cara pikir baik pintar mnguasai bidang moga amanah bapak jujur amin,Positif
menteri uang baru harap baru moga bawa ekonomi indonesia lebih baik,Positif
awas kredit macet ekonomi dunia sedang tidak baik daya beli masyarakat lemah situasi politik negeri hangat semua saling pengaruh walaupun mudah dunia usaha,Negatif
hebat deh menteri uang,Positif
alhamdulillah optimis menteri uang baru bapak purbaya jelas nya tarik cukup jelas,Positif
mana nih bilang ihsg turun noh real action 200t masuk sistem reaksi pasar instant ihsg tutup naik 100poin minggu depan jelas range 800,Positif
bapak dewa jadi nama mu sang dewa selamat nkri,Positif
kalau ubah pion pion ganti orang sekitar2 sistim hasil sama warga indonesia perlu ajar nepal cara ubah perintah korup sistemik kronis revolusi,Negatif
moga amanah pihak rakyat njih bapak menteri,Positif
moga hasil bapak naik ekonomi kami optimis bapak purbaya lihat cerdas,Positif
keren program bapak nih uang laga uang good antusias langkah bapak moga baik negeri n bisa lunas hutang n untung bisa guna makmur rakyat,Positif
judol sama kripto tertib bapak outflow cash duit tidak munyer2 di,Positif
saya suka dengen menteri ketika tanya langsung jawab teknis bukan dar normatif,Positif
saran bapak gaya koboi terus lanjut saya optimis tangan bapak tumbuh economi tumbuh lebih cepat,Positif
menteri koboy omong ceplas ceplos aku percaya kalau beliau kerja,Positif
indonesia damai sejahtera amin,Netral
paling utama sekarang buka lapang kerja danantara diri usaha aplikasih gojek gofood biar feenya di kecil kasih thr lebaran tidak tuntut usaha swasta bayar thr,Netral
langkah sangat tepat bapak menteri,Positif
jadi inti langkah sangat positif kalau benar benar alir sektor riil kalau tidak awas ketat bisa jadi cuma jadi parkir dana untung buat bank bukan rakyat,Netral
moga ekonomi baik amin,Positif
selamat kerja bapak moga penuh tanggung jawab dam moga dana sebut tidak sabotase koruptor,Positif
kalau uang ditarok bank punya harta agun dapat pinjam bank arti kayak makin kayak miskin tetap miskin orang miskin utama yang desa tidak punya agun aju pinjam hanya butuh 10jt dari harap kalau tuju perintah maju ekonomi sekaligus kurang angka miskin indonesia saya usul uang 200 t langsung salur pinjam bunga kecil 10jt 5jt per kepala keluarga utama di masyarakat desa,Negatif
dengar jelas bapak menteri uang smgat muas sekali,Positif
bagus bapak pada lewat menteri sosial banyak korupsi nya lebih baik lewat perban lebih jelas selektif tanggung jawab uang ekonomi jalan perintah dapat pajak daerah rakyat keren,Positif
kredit mudah otomatis rakyat mau kredit bank kredit bank ekonomi mulai merangkat lewat kredit bank resiko rada minim pasti untung uang negara tidak hilang,Positif
mungkin indonesia mulai siap hadap krisis ekonomi uang tidak lama,Netral
memang harus biar rakyat tumbuh ekonomi dulu jangan uang sedot terus pusat terus malah tidak apa duit,Positif
groming rambut nya acak an tinggal tunggu hasil kerja bapak menkue baru,Netral
moga cara bapak buat ekonomi naik,Positif
baru menteri uang optimis,Positif
insya allah saudara purbaya sukses jabat menteri uang ri era kabinet merah putih,Positif
menteri uang tipe memang begini jangan bilang sombong songong apa memang orang nya ceplas ceplos buka lihat kerja keras cerdas pintar dukung kawal menteri uang rakyat dukung,Positif
optimis dengar bapak menteri,Positif
ibarat ekonomi indonesia mulai awal mulai nol,Netral
sebar rakyat roda ekonomi terbang bapak perintah rakyat tidak pusing bapak,Positif
joss bapak menteri makin jaya,Positif
crypto kasih pajak 100 lagi uang nyangkut situ kagak gerak gerak,Netral
laku dunia properti kemarin proses aju kpr main bank sampai berbulan2 proses baru tau nyata menteri kemarin tahan uang kas,Negatif
mantab menteri baru,Positif
bapak wo rakyat 70 usaha online pos bikin jual beli online lalu gratis ongkir deh cukup bantu ekonomi rakyat usaha mikro kecil tengah pt pajak cukup 4 buat bayar kariyawan,Netral
iya bapak rakyat mu optimis penting jangan sulit pinjam bunga kecil pajak turun sembako turun maju lancar gerak cepat harta kaya indonesia banyak sekali pada habis tangan orang orang serakah bapak amanah rakyat mu tetus maju,Positif
mantap bapak menteri sehat selalu,Positif
sisa tinggal pimpin bank badan usaha milik negara jangan beli sun jangan jadi kredit konsumsi buat usaha mikro kecil tengah tapi lebih bagus buat swasta startup potensi tanya ada alas ibu sama putus uang nganggur bank indonesia lama itu wartawan perlu tanya tidak sih mau jaga likuiditas negara mau jaga nilai tukar rupiah,Negatif
moga terus buka buat rakyat,Positif
uang 200t tepat sasar bukan guna usaha tidak butuh malah ikut pakai bukan usaha tidak produktif kemudian sulit kembali dana sebut inti bapak purbaya jangan lepas saja 200t serah sepenuh bank bank kata biar serah bank mau guna apa ikan siapa menteri uang juga tetap pantau uang sebut guna untuk apa guna siapa uang sebut tepat sasar usaha kecil tengah produktif tani nelayan para dagang khawatir uang sebut malah guna pihak justru buat uang sebut tidak edar di masyarakat,Negatif
bijak ibarat injeksi vitamin perban bikin sistem lebih sehat ekonomi lebih tenaga kalau dosis salah timbul efek samping upa inflasi lemah rupiah kredit macet,Netral
sahkan hukum mati koruptor sahkan uu ampas aset laku dulu bangun negeri,Negatif
papar menteri keren judol rajalela uang lari kamboja wkwk,Negatif
bismillah bapak purbaya gaya maju perban ekonomi negara indonesia,Positif
bapak selamat ekonomi indonesia,Positif
bank makin kayak uang luber mudah korupsi lari luar negeri masyarakat susah,Negatif
anak sd bisa kalau pindah uang ada,Netral
mode offensive mantab bapak,Positif
bravo bapak menteri,Positif
taruh bank himpun bank milik negara tidak sebar private sector kan deh jelas saudari kopdes merah putih rumah,Netral
tidak lama lantik asal nyeletuk sempat bikin gaduh boleh nih menteri tunggu hasil kerja moga ekonomi swasta lebih maju,Netral
beri sunti arti beri pinjam usaha mikro kecil tengah apa banget maksud,Netral
bapak menteri kok ya kalem banget sante loh,Netral
sukses pakai menteri,Positif
biasa menteri begini musuh jabat bahkan dewan wakil rakyat hati bapak pasti ada demo2 nama rakyat,Negatif
cuma lihat 1 lemah sih koruptor nya segera berantas jangan uang 200t hilang paro makan tikus,Negatif
orang suruh kredit luar biasa,Netral
top bapak menteri yudi,Positif
jangan bingung nyalurin uang banyak lepas ke driver gojek grab maxim beli mobil motor listrik lumayan nambahin hasil karena hemat industri mobil motor listrik denyut sebar uang nya bisa nasional,Netral
meski gaya komunikasi sdikit belibet kita butuh hasil,Netral
bismillah bawa ubah rakyat bapak menteri moga amanah tiap langkah ambil diridhoi allah amin,Positif
masyaallah baru lantik langsung buat terobos bravo bapak presiden mudah lah langkah beliau bangsa ya allah,Positif
gue suka gaya lo bapak menkue baru gebrak insya allah sektor riil arus tengah bawah gerak tinggal tri badan usaha milik negara agar proses kredit tidak sulit dan mudah calon debitut bukti usaha sudah jalan akan jalan,Positif
dukung orang ybs blak blakn ybs tau riwayat ekonomi ini tau pemain2 pendosa2 kasih sempat moga selamat sukses bawa indonesia emas salam takzim bapak purbaya,Positif
menteri begini asik investor senang moga ekonomi roket,Positif
gue suka gaya lu bapak tingkat kredit cari untung banyak banyak cerdas bapak,Negatif
benar benar gebrak nya luar biasa ayo gerak haqqul yakin lilahitaala insyaallah ekonomi indonesia bangkit gerak sama,Positif
purbaya orang nya optimis n yakin bismillah baru mula tiap hari kejar wartawan jadi media darling tiap hari,Netral
suka cerdas menteri,Positif
moga ekonomi baik harga sembako jangkau semua masyarakat,Positif
jelas nya mudah erti tidak belit simple lugas tegas,Positif
luar biasa gerak cepat baik ekonomi indonesia,Positif
gue saksi jaman surabaya pakai strategi ekonomi cepat gerak naik bisnis gue jalan deh,Positif
keren jelas tanya bsi ikut bsi punya akses aceh uang nya ke aceh,Netral
gila sih cara bapak menteri buat untuk pikir gerak ekonomi dana,Positif
jujur suka gaya menteri uang kayak begini penuh optimis simple tidak neko alhamdulillah terima kasih bapak prabowo pilih orang baik dan mau ganti menteri2 tidak kompeten,Positif
selamat selamat kerja bapak,Netral
baru kali lega dengar menteri uang tidak omong pajak pajak pajak,Positif
senang banget dengar biar bank nya pusing bapak bukan pusing tidak punya uang karena uang banyak moga semua bank bisa jadi panjang perintah efektif gerak ekonomi,Positif
mantaapp bapak menteri moga jalan lancar amanah,Positif
buka sekali bapak mantap,Positif
rakyat satu padu ayo dukung perintah positif biar rakyat maju negeri maju rakyat sejahtera perintah adil bijaksana lu bangsa negara smgt negriku gebrakn luar biasa moga benar amanah buat bapak menteri sehat selalu maju bersma,Positif
mantap kali menteri,Positif
baru kali saya respect sama menteri moga lancar terobos insyaallah,Positif
0 22 baru menteri uang taro uang bank di akses masyarakat mau pinjam usaha bukan keruk uang rakyat lalu pajak doang,Netral
dengan menteri uang indonesia baru indonesia makin makmur lihat,Positif
trimakasih ibu sri atas hutang 600 triliun nya,Negatif
bank nya pusing bapak optimis beri semangat baru moga program bapak jalan sukses selalu lancar bapak menteri purbaya,Positif
gass pooll bapak menteri lu indonesia semangat kerja lu nkri,Positif
segera ikan pinjam lunak bunga rendah para ani usaha kecil,Netral
baru kali gue erti makro ekonomi indonesia jelas nya mudah paham mantap bapak purbaya lanjut terus,Positif
turut memang bijak eks menteri uang tidak suka rakyat kebijakan2nya buat rakyat susah belum saat ganti masa jabat eks menteri uang pengaruh thd pasar ada investor2 ragu ada ekonomi tinggal pergi eks menteri uang jadi ingin ganti ada pilih menteri uang ganti nah peer nya menentramkan redam gejolak pasar uang pasar uang tetap tak bisa redam intervensi baik evaluasi ulang masalah bagaimana bijak menteri uang baru kan dalam proses,Netral
jabat bank kalau tidak bantu negara yang menyalahgunakan korup gantung,Negatif
trimksih bapak purbaya cerdhas hebat,Positif
awas apa hati hati banyak garong,Negatif
akhir ide2 baru menteri baru moga hasil bapak,Positif
nah masalah nya lama uang kunci tidak salur akibat peeputaran uang jadi stuck mudah salur jalan sesuai rencana bapak menteri uang bravo,Positif
taruh uang 200t bank siapa awas salur kredit kondisi ekonomi lambat jangan uang malah jadi bancak kredit macet jangan taruh keju depan tikus,Negatif
bismillah rakyat dukung sama baik,Positif
insyaallah siap bapak insya allah segera laksana kerja wow amazing bapak menteri tegas sekali intruksi nya,Positif
bapak menteri baru salam bapak medan sumatra utara mau nanyak bapak sulit sekali bapak mau pakai pinjam kredit usaha rakyat bank rakyat indonesia medan khusus padang bulan medan walaupun semua data lengkap ada sulit dana kredit usaha rakyat yang tumpah negara jalan baik baik giling sama jabat bank rakyat indonesia tiap daerah atupun pusat bapak dong buat tim telusur nya bapak banyak tikus tikus kayak jabat bank sendiri bapak dana nya pakai buat sendiri buat rakyat di suruh pakai dana komersil kalo komersil sangat di mudah kredit usaha rakyat naudjubila,Negatif
moga cepat tumbuh ekonomi indonesia,Positif
moga dana masuk bank2 amanah tidak macet ada manfaat rakyat amin,Positif
moga prubahan ekonomi,Positif
percuma bapak menteri kalo dana bank pinjam nasabah sulit belit adm minta ampun besar,Negatif
menteri baik dunia mana pikir nya kayak begini nya cuma pajak doang,Negatif
moga uang serap pasar baik moga pasar putar uang baik moga pasar adalah interpreneur ulung jago bisnis shg multiplier effect jub tingkat ekonomi tingkat miskin ada orang tidak makan ada semua negara moga bisa kurang efek,Positif
alhamdulillah purbaya percaya diri ngadepin wartawan omong tapi the point tidak muter2,Positif
daya beli masyarakat harus baik di dorong tambah kredit kalau masyarakat tidak daya beli tetap lesuh,Positif
awas rawan korupsi kasus blbi rakyat minjem uang bank susah banget banyak prosedur,Negatif
direksi bank pesta pora nih,Negatif
uu ampas aset belum sahkan koruptor bank siapin meja makan,Negatif
bank paksa nyalur kredit akhir ngawur salur kredit 2 tahun pada macet kredit kayak tidak tau pinjam konoho siap2 bapak cari kpk buat tanggung jawab,Negatif
susah bapak rakyat indonesia sekarang banyak kena bank indonesia checking jadi tidak minjam kalo minjam bank borohan tidak,Negatif
kelas nih di butuh kan investor datang nih n usaha laku pinjam n sektor ekonomi hal baik,Positif
mudah amanah rakyat aceh akan tingkat bangun sana,Positif
bapak menteri uang tanggap bapak bagus gerak cepat gelontor dana 200 triliun 5 bank badan usaha milik negara gerak stimulus ekonomi sistem perban,Positif
mesti tanya bagaimana awas biar tidak kayak blbi kemarin,Netral
cuma dar ingat masyarakat ingat kasus blbi perintah lontar uang bank2 banyak tak mampu bayar aju pailit,Negatif
ikut pinjam bapak buat beli nmax insyaallah angsur lancar ambil leasing bunga besar,Netral
baru kali nyata menteri saya dengar awal selesai nyata ceplas ceplos bikin tarik gaya pikir,Positif
ingat pakai menteri uang dbawah kian lemah daya beli pasar2 sangat sepi beli pasar sekarang bisa buat lari maraton evek kbijakan sri kentir untung parlemen rakyat sangat geram,Negatif
ada maju cara bicara bapak menteri uang moga sukses,Positif
awas jangan korupsi,Negatif
gas bapak menteri moga segera asa ubah,Positif
segera lah uu ampas aset gol kan kucur dana rp 200 triliun himpun bank milik negara umpan pancing sang garong ketika korupsi kan lumayan langsung di rampas aset aset nya,Negatif
percuma bijak karena banyak bank korupsi bahkan dana bank plat merah alih danatara danatara cepat investasi makmur,Negatif
moga pegawai bank tidak yang pikir bikin kredit fiktif,Netral
bapak menteri uang lebih sering nongol kita sering dengar jelas bapak menteri uang,Positif
yuk ke bank ikut kredit mumpung banyak uang nih,Netral
mudah an bunga pinjam kecil semua kredit usaha rakyat ukm,Netral
moga segera selidik vidio ditiktok bayak orang upload vidio kredit lewat wa kasihan sekali korban tidak uang malah data comot orang tidak bertanggungjawab,Negatif
baru sejarah indonesia dipimpinnoleh orang cerdas yakin semiga bapak stabil uang negara lama uang negara selalu putar bank kedeoanya putar dimasyrakat,Positif
hati hati guna uang negara bapak,Negatif
keren meski awal awal pro kontra selang berapa hari langsung gercep tindak nya aksi nyata mungkin anggep di awal public kenal bapak,Positif
sama aju pinjeman dong bapak tidak punya sertifikat di gadai,Netral
rakyat terus bimbing bikin produk bisnis di china menperin mendag brin uang gelontor serap lewat kredit usaha utama yang orientasi eksport kerja gaji ada konsumsi inti ini uang rakyat tongpes phk,Negatif
siap siap ngajukan kredit tanpa jamin bank cairr cuy 200 t,Netral
koruptor dapat ott di guna ekonomi rakyat bapak,Positif
negara maju ekonomi suport terus kalau jabat korup di karung,Positif
tinggal tunggu sektor perban jalan tidak sesuai instruksi harus sih jalan kan tidak beli surat utang jadi mau tidak mau bank ngucurin sektor riil serah mau usaha coprorate gede mau usaha mikro kecil tengah mau orang alias indvidu mau ke koperasi usaha,Netral
mulai bagus perintah ini transparansi,Positif
sabar dulu biar beliau kerja bukti mampu,Netral
benar perlu baik ganti direksi bank badan usaha milik negara atur atur gaji bonus direksi kes bancaan meski untung tipis alir uang berapa kalo jalan tidak profesional tetap jebol,Negatif
yakin tangan bapak purbaya ekonomi negara jauh lebih baik,Positif
awas uang rakyat bunga kredit jangan cekik rakyat,Negatif
moga hasil tindak menteri uang baru saya rakyat jelata tidak paham ekonomi lama saya tidak pernah tawar modal usaha mikro kecil tengah,Netral
wujud bentuk kredit lunak tolong utama salur usaha usaha kecil kembang usaha mikro kecil tengah biar bisa maju serap tenaga kerja orang orang sekitar harus awas ketat jangan ada kredit usaha fiktif,Positif
jangan hujat dulu lihat hasil baru nilai,Netral
dengar papar beliau kemarin seperti beliau jenius moga bukan omon omon,Netral
asal jangan bank2 sebut mulai kurang liquid rugi,Negatif
wah bangkrut peluang koropsi lebih gedhe coz bank bank selalu masalah nanti banyak pinjam fiftip,Negatif
kalo bank perintah jadi alat sokong bisnis oligarki para jabat tanpa pihak usaha mikro usaha kecil sd tengah timpang ekonomi terus besar moga bijak tidak jadi rakyat makin susah,Negatif
